[2018-12-12 07:03:37] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/app/etc/env.php_bak [] []
[2018-12-12 11:26:21] update-cron.WARNING: Update is already in progress. [] []
[2018-12-13 06:27:14] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
[2018-12-13 06:28:05] setup-cron.INFO: Magento is not installed. [] []
[2018-12-13 06:28:11] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
[2018-12-13 06:29:07] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/auth.json.sample 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
[2018-12-13 06:30:11] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/.github 	/var/www/magento/auth.json.sample 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
[2018-12-13 06:31:06] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/.github 	/var/www/magento/auth.json.sample 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
[2018-12-13 06:32:13] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/.github 	/var/www/magento/auth.json.sample 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
[2018-12-13 06:33:05] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/.github 	/var/www/magento/auth.json.sample 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
[2018-12-13 06:34:13] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/.github 	/var/www/magento/auth.json.sample 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
[2018-12-13 06:35:05] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/.github 	/var/www/magento/auth.json.sample 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
[2018-12-13 06:36:11] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/.github 	/var/www/magento/auth.json.sample 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
[2018-12-13 06:37:05] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/.github 	/var/www/magento/auth.json.sample 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
[2018-12-13 06:38:11] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/.github 	/var/www/magento/auth.json.sample 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
[2018-12-13 06:39:07] update-cron.ERROR: Cron readiness check failure! Found non-writable paths: 	/var/www/magento/.github 	/var/www/magento/auth.json.sample 	/var/www/magento/pub/media/.htaccess 	/var/www/magento/pub/media/customer/.htaccess 	/var/www/magento/pub/media/downloadable/.htaccess 	/var/www/magento/pub/media/import 	/var/www/magento/pub/media/theme_customization/.htaccess [] []
